c1,c2,date,place,amount,year
6,12,NOV 17,STARBUCKS CARD RELOAD 800-782-7282 ON,10.00,2018
7,14,NOV 17,COQUITLAM CHEERS CHICKEN COQUITLAM BC,42.30,2018
8,16,NOV 17,ROYAL CITY TAXI # 90 NEW WESTMINSTBC,54.70,2018
9,18,NOV 18,VANCOUVER TAXI VANCOUVER BC,48.40,2018
10,20,NOV 19,COQ CENTENNIAL ACTIVIT COQUITLAM BC,4.75,2018
11,22,NOV 19,PETROCAN-1969 WILLINGDON BURNABY BC,40.00,2018
12,24,NOV 19,MCDONALD'S #40251 MYMCDS BURNABY BC,13.10,2018
13,26,NOV 20,WAL-MART SUPERCENTER#1213BURNABY BC,5.00,2018
14,28,NOV 20,T&T SUPERMARKET #001 BURNABY BC,13.98,2018
15,30,NOV 21,BLOSSOM TEAS BURNABY BC,8.98,2018
16,32,NOV 22,"ATOM TICKETS, LLC 3106272866 CA",17.00,2018
17,34,NOV 22,CENTENNIAL TOWN PANTRY BURNABY BC,4.02,2018
18,36,NOV 24,WAVES COFFEE HSE COLUMBIANEW WESTMINSTBC,9.35,2018
0,0,JAN 25,G&J FOOD LTD. RICHMOND BC,6.25,2018
1,4,JAN 26,A&W #0773 SFU BURNABY BC,6.81,2018
2,8,JAN 26,MINISO CANADA BURNABY BC,16.79,2018
3,12,JAN 27,WINGS ON GRANVILLE VANCOUVER BC,15.95,2018
4,15,JAN 30,BR FACTORY STORE 7616 VANCOUVER BC,55.99,2018
5,19,JAN 30,ICBC #59037 NEW WESTMINSTBC,421.23,2018
6,23,JAN 30,ESSO 736 6TH AVENUE NEW WESTMINSTBC,20.00,2018
7,27,FEB 01,IMPARK00010644U N VANCOUVER BC,7.00,2018
8,30,FEB 02,EBISU ON ROBSON VANCOUVER BC,14.38,2018
9,34,FEB 02,MCDONALD'S #12135 Q04 COQUITLAM BC,14.44,2018
10,38,FEB 02,CITY OF VAN PAYBYPHONE VANCOUVER BC,1.00,2018
11,42,FEB 02,CITY OF VAN PAYBYPHONE VANCOUVER BC,0.50,2018
12,45,FEB 02,CITY OF VAN PAYBYPHONE VANCOUVER BC,0.33,2018
13,48,FEB 03,SOBEYS LIQUOR 5397 COQUITLAM BC,16.11,2018
14,50,FEB 03,HOPS NEW WESTMINSTBC,32.91,2018
15,52,FEB 03,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2018
0,0,SEP 26,MCDONALD'S #40251 MYMCDS BURNABY BC,2.09,2018
1,4,SEP 26,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2018
2,8,SEP 27,TELUS MOBILITY PREAUTH CALGARY AB,138.70,2018
3,12,SEP 28,KOODO MOBILE PAC EDMONTON AB,36.20,2018
4,15,SEP 29,SUSHI WELL NEW WESTMINSTBC,4.46,2018
5,19,SEP 29,AJUKER FRIED CHICKEN COQUITLAM BC,17.32,2018
6,23,SEP 29,PIZZA HUT BURNABY BC,10.50,2018
7,27,SEP 30,IMPARK00012221U VANCOUVER BC,2.00,2018
8,30,SEP 30,MCDONALD'S #21433 NEW WESTMINSTBC,4.29,2018
9,34,SEP 30,SKYBRIDGE TOWN PANTRY PAPSURREY BC,20.00,2018
10,38,OCT 03,MCDONALD'S #12135 MYMCDS COQUITLAM BC,1.88,2018
11,42,OCT 04,SPOTIFY P07B67E998 STOCKHOLM,4.99,2018
12,45,OCT 05,FRESHII - 1170 BURNABY BC,9.44,2018
13,48,OCT 05,ROYAL OAK TOWN PANTRY PAPBURNABY BC,20.00,2018
14,50,OCT 05,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,2018
15,52,OCT 06,STARBUCKS 00137 N WESTMINSTERBC,2.26,2018
0,3,OCT 07 OCT 10,WAL-MART SUPERCENTER#3008BURNABY BC,42.19,2018
1,6,OCT 07 OCT 11,NAGOYA SURREY BC,10.49,2018
2,9,OCT 08 OCT 09,GREEN TIMBERS LIQUOR S SURREY BC,11.35,2018
3,12,OCT 08 OCT 09,MCDONALD'S #40255 MYMCDS NEW WESTMINSTBC,1.88,2018
4,14,OCT 09 OCT 12,WAL-MART SUPERCENTER#3008BURNABY BC,9.76,2018
5,16,OCT 09 OCT 10,LITTLE TEA HOUSE BURNABY BC,5.25,2018
6,20,OCT 10 OCT 11,PIZZA HUT #31105 NEW WESTMINSTBC,9.44,2018
7,23,OCT 10 OCT 11,ROYAL OAK TOWN PANTRY PAPBURNABY BC,20.00,2018
8,26,OCT 10 OCT 11,MCDONALD'S #12135 MYMCDS COQUITLAM BC,1.88,2018
9,28,OCT 11 OCT 15,SHAW CABLESYSTEMS CALGARY AB,44.80,2018
10,30,OCT 12 OCT 15,MCDONALD'S #14908 MYMCDS BURNABY BC,1.05,2018
11,32,OCT 12 OCT 15,QUEENSBOROUGH LANDING LIQNEW WESTMINSTBC,8.50,2018
12,34,OCT 14 OCT 17,A&W STORE # 0573 SURREY BC,3.18,2018
13,36,OCT 14 OCT 17,A&W STORE # 0573 SURREY BC,10.23,2018
14,38,OCT 14 OCT 15,SUSHI WELL NEW WESTMINSTBC,28.17,2018
15,40,OCT 14 OCT 15,WESTPARK - PAY BY PHONE VVANCOUVER BC,2.85,2018
16,42,OCT 14 OCT 15,SKYBRIDGE TOWN PANTRY PAPSURREY BC,20.00,2018
17,44,OCT 15 OCT 17,REVENUE SERVICES BC VICTORIA BC,23.00,2018
18,46,OCT 15 OCT 17,DAMACAN SUSHI BURNABY BC,11.00,2018
0,0,APR 27,KOODO MOBILE PAC EDMONTON AB,46.20,2019
1,2,APR 27,TELUS MOBILITY PREAUTH CALGARY AB,135.80,2019
2,4,APR 27,88 SUPERMARKET VANCOUVER BC,3.90,2019
3,6,APR 27,CENTENNIAL TOWN PANTRY BURNABY BC,20.00,2019
4,8,APR 27,SAL Y LIMON MEXICAN CUISIVANCOUVER BC,16.48,2019
5,10,APR 30,PAYMENT - THANK YOU / PAIEMENT - MERCI,-501.08,2019
6,12,APR 30,PETROCAN-7890 CANADA WAY BURNABY BC,50.64,2019
7,14,MAY 01,WAL-MART SUPERCENTER#1205SURREY BC,48.43,2019
8,16,MAY 02,GREEN TIMBERS LIQUOR S SURREY BC,10.20,2019
9,18,MAY 03,H-MART COQUITLAM BC,9.77,2019
10,20,MAY 04,SPOTIFY P0AB5A0E57 STOCKHOLM,4.99,2019
11,22,MAY 04,SUPER SAVE GAS #11 MERRITT BC,48.78,2019
12,24,MAY 04,CACTUS CLUB KELOWNA YA KELOWNA BC,67.94,2019
13,26,MAY 05,TIM HORTONS #7552 KELOWNA BC,2.09,2019
14,28,MAY 05,PETROCAN-1090 WESTMINSTERPENTICTON BC,28.08,2019
15,30,MAY 05,PETROCAN-1969 WILLINGDON BURNABY BC,36.37,2019
0,3,MAY 05 MAY 06,CRAFT BEER MARKET - KELOWKELOWNA BC,28.78,2019
1,6,MAY 09 MAY 10,DANA - SIERRA WIRELESS RICHMOND BC,2.00,2019
2,9,MAY 11 MAY 13,PERVERTD ICE CREAM VANCOUVER BC,6.30,2019
3,12,MAY 11 MAY 13,SHAW CABLESYSTEMS CALGARY AB,7.45,2019
4,14,MAY 12 MAY 14,PETROCAN-5111 GRT MCCHONARICHMOND BC,1.09,2019
5,16,MAY 12 MAY 13,YVR PARKING RICHMOND BC,9.50,2019
6,20,MAY 13 MAY 14,PETROCAN-6502 VICTORIA DRVANCOUVER BC,37.45,2019
7,23,MAY 14 MAY 15,DANA - SIERRA WIRELESS RICHMOND BC,7.00,2019
8,26,MAY 14 MAY 14,"ATOM TICKETS, LLC 3106272866 CA",12.99,2019
9,28,MAY 15 MAY 21,REVENUE SERVICES BC VICTORIA BC,23.00,2019
10,30,MAY 15 MAY 16,TOKYO JOE'S SUSHI FACTORYRICHMOND BC,10.71,2019
11,32,MAY 15 MAY 16,MCDONALD'S #21433 NEW WESTMINSTBC,6.18,2019
12,34,MAY 17 MAY 21,DANA - SIERRA WIRELESS RICHMOND BC,1.05,2019
13,36,MAY 17 MAY 21,THE KEG DUNSMUIR VANCOUVER BC,55.05,2019
14,38,MAY 17 MAY 17,PAYMENT - THANK YOU / PAIEMENT - MERCI,-659.12,2019
15,40,MAY 18 MAY 21,XPRESS DONAIR HOUSE COQUITLAM BC,13.03,2019
16,42,MAY 19 MAY 21,COQUITLAM CHEERS CHICKEN COQUITLAM BC,44.59,2019
17,44,MAY 19 MAY 21,DENNY'S 03-089 COQUITL COQUITLAM BC,139.31,2019
18,46,MAY 20 MAY 21,COQUITLAM CHEERS CHICKEN COQUITLAM BC,14.48,2019
0,0,MAR 27,OFFER PETRO-CANADA,-5.00,2019
1,3,MAR 28,TELUS MOBILITY PREAUTH CALGARY AB,164.10,2019
2,7,MAR 29,KOODO MOBILE PAC EDMONTON AB,46.20,2019
3,11,MAR 30,SAFEWAY #4911 BURNABY BC,1.69,2019
4,14,MAR 30,SUSHI UOMO BURNABY BC,14.52,2019
5,18,MAR 30,QUEENS PARK TOWN PANTRY PNEW WESTMINSTBC,20.00,2019
6,22,MAR 31,PHO MR. DO VIETNAMESE RESBURNABY BC,5.20,2019
7,26,MAR 31,CENTENNIAL TOWN PANTRY PABURNABY BC,50.00,2019
8,30,APR 02,"ATOM TICKETS, LLC 3106272866 CA",17.00,2019
9,33,APR 02,RENAISSANCE COFFEE BURNABY BC,2.15,2019
10,37,APR 02,QUESADA BURRITOS AND TACOBURNABY BC,8.07,2019
11,41,APR 04,SPOTIFY P0A3F48122 STOCKHOLM,4.99,2019
12,45,APR 04,SUSHI CALIFORNIA COQUITLAM BC,12.65,2019
13,47,APR 06,PHO MR. DO VIETNAMESE RESBURNABY BC,7.00,2019
0,0,APR 11,SHAW CABLESYSTEMS CALGARY AB,103.04,2019
1,2,APR 12,SUSHI CALIFORNIA COQUITLAM BC,15.34,2019
2,4,APR 13,CHAD THAI BURNABY BC,13.27,2019
3,6,APR 13,BLOSSOM TEAS BURNABY BC,4.94,2019
4,8,APR 13,PETROCAN-7890 CANADA WAY BURNABY BC,50.50,2019
5,10,APR 14,MCDONALD'S #29716 Q04 BURNABY BC,1.77,2019
6,12,APR 15,MCDONALD'S #1449 MYMCDS COQUITLAM BC,2.93,2019
7,14,APR 15,MCDONALD'S #1449 Q04 COQUITLAM BC,1.05,2019
8,16,APR 16,REVENUE SERVICES BC VICTORIA BC,23.00,2019
9,18,APR 17,SFU J DOUGLAS # 87275004 BURNABY BC,9.23,2019
10,20,APR 19,TAQUERIA PLAYA TROPICAL NEW WESTMINSTBC,15.75,2019
11,22,APR 20,MCDONALD'S #29002 Q04 N. VANCOUVER BC,2.10,2019
12,24,APR 20,SHELL 4191 NORTH RD BURNABY BC,16.03,2019
13,26,APR 20,SHELL 1580 HWY 99. SQUAMISH BC,42.60,2019
14,28,APR 21,PLUS KARAOKE COQUITLAM BC,12.00,2019
15,30,APR 23,WOODS SPORTS PUB COQUITLAM BC,14.56,2019
16,32,APR 23,MCDONALD'S #14908 BURNABY BC,1.05,2019
0,0,MAR 11,SHAW CABLESYSTEMS CALGARY AB,44.81,2019
1,2,MAR 11,BLOSSOM TEAS BURNABY BC,4.85,2019
2,4,MAR 11,INLET TOWN PANTRY PAP BURNABY BC,20.00,2019
3,6,MAR 11,MCDONALD'S #29716 Q04 BURNABY BC,6.81,2019
4,8,MAR 11,MCDONALD'S #12135 Q04 COQUITLAM BC,1.88,2019
5,10,MAR 13,PHO MR. DO VIETNAMESE RESBURNABY BC,10.40,2019
6,12,MAR 13,PAYMENT - THANK YOU / PAIEMENT - MERCI,-331.01,2019
7,14,MAR 15,REVENUE SERVICES BC VICTORIA BC,23.00,2019
8,16,MAR 15,PETROCAN-8014 KING GEORGESURREY BC,48.31,2019
9,18,MAR 18,PIZZA HUT #31154 BURNABY BC,13.52,2019
10,20,MAR 20,AMAZON.CA*MW3JB8AC0 AMAZON.CA ON,16.12,2019
11,22,MAR 21,AMAZON.CA*MW50K21M1 AMAZON.CA ON,17.07,2019
12,24,MAR 22,YAGUCHIYA RAMEN BURNABY BC,15.40,2019
13,26,MAR 23,MCDONALD'S #29002 Q04 N. VANCOUVER BC,4.50,2019
14,28,MAR 24,HANGANG KOREAN RESTAUR COQUITLAM BC,19.84,2019
15,30,MAR 25,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.00,2019
16,32,MAR 26,BBONG KOREAN RESTAURAN COQUITLAM BC,21.17,2019
